model,arm,naming,branching,role,layer,radial_depth_rho,radial_depth_absrho,n_prompts
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,40,0.5165,0.5165,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,44,0.4812,0.4812,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,48,0.3615,0.3726,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,0,0.5105,0.5105,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,4,-0.102,0.2706,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,8,0.2028,0.2937,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,12,0.5659,0.5659,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,16,0.6141,0.6141,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,20,0.6538,0.6538,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,24,-0.1012,0.2421,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,28,0.1609,0.2633,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,32,0.473,0.4738,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,36,0.7067,0.7067,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,40,0.4482,0.4482,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,44,0.4583,0.4798,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,last,48,0.3365,0.3504,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,0,0.5151,0.5151,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,4,-0.1024,0.244,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,8,0.1067,0.2679,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,12,0.5681,0.5681,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,16,0.5101,0.5101,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,20,0.5579,0.5579,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,24,-0.2452,0.2782,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,28,0.0671,0.1992,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,32,0.5095,0.5095,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,36,0.6337,0.6337,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,40,0.3972,0.3972,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,44,0.3097,0.3371,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,premise,48,0.3153,0.3347,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,0,0.5151,0.5151,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,4,-0.0901,0.2433,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,8,0.0901,0.2528,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,12,0.5238,0.5238,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,16,0.4821,0.4821,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,20,0.5343,0.5343,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,24,-0.2369,0.2655,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,28,0.0671,0.1853,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,32,0.4351,0.4351,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,36,0.6155,0.6155,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,40,0.3155,0.3262,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,44,0.2623,0.2937,18
Qwen/Qwen2.5-14B,fictional_b3,fictional,3,last,48,0.3355,0.3482,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,0,-0.3536,0.3536,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,4,-0.1283,0.3442,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,8,0.5288,0.5288,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,12,0.6037,0.6037,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,16,0.5883,0.5883,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,20,0.6369,0.6369,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,24,0.4622,0.4622,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,28,0.4311,0.4379,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,32,0.5739,0.5739,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,36,0.6236,0.6236,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,40,0.5662,0.5662,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,44,0.5347,0.5347,18
Qwen/Qwen2.5-14B,real_b2,real,2,premise,48,0.4384,0.4384,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,0,-0.3536,0.3536,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,4,-0.1334,0.3477,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,8,0.5292,0.5292,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,12,0.6054,0.6054,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,16,0.5946,0.5946,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,20,0.6377,0.6377,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,24,0.4471,0.4471,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,28,0.4056,0.4306,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,32,0.556,0.556,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,36,0.6413,0.6413,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,40,0.567,0.567,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,44,0.5804,0.5804,18
Qwen/Qwen2.5-14B,real_b2,real,2,last,48,0.478,0.478,18
