model,arm,naming,branching,role,layer,radial_depth_rho,radial_depth_absrho,n_prompts
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,premise,24,0.5667,0.5667,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,premise,28,0.6113,0.6113,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,premise,32,0.4849,0.5131,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,premise,36,-0.4778,0.4778,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,last,0,0.5254,0.5254,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,last,4,-0.0192,0.2343,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,last,8,0.2335,0.3006,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,last,12,0.5877,0.6028,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,last,16,0.6833,0.6833,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,last,20,0.3256,0.3764,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,last,24,0.5137,0.5137,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,last,28,0.5397,0.5397,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,last,32,0.4603,0.4631,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,last,36,-0.4165,0.4165,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,premise,0,0.4407,0.4407,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,premise,4,-0.0097,0.2244,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,premise,8,0.2228,0.2538,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,premise,12,0.4544,0.4544,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,premise,16,0.573,0.573,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,premise,20,0.3651,0.3655,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,premise,24,0.4937,0.4937,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,premise,28,0.4385,0.4385,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,premise,32,0.4014,0.4423,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,premise,36,-0.4476,0.4476,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,last,0,0.4407,0.4407,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,last,4,0.0006,0.2292,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,last,8,0.2357,0.2623,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,last,12,0.4401,0.4401,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,last,16,0.5718,0.5718,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,last,20,0.3581,0.3657,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,last,24,0.4206,0.4206,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,last,28,0.3623,0.3643,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,last,32,0.3496,0.3984,18
Qwen/Qwen2.5-3B,fictional_b3,fictional,3,last,36,-0.4115,0.4115,18
Qwen/Qwen2.5-3B,real_b2,real,2,premise,0,-0.0997,0.2644,18
Qwen/Qwen2.5-3B,real_b2,real,2,premise,4,0.1627,0.3,18
Qwen/Qwen2.5-3B,real_b2,real,2,premise,8,0.3376,0.3784,18
Qwen/Qwen2.5-3B,real_b2,real,2,premise,12,0.6205,0.6205,18
Qwen/Qwen2.5-3B,real_b2,real,2,premise,16,0.5614,0.5614,18
Qwen/Qwen2.5-3B,real_b2,real,2,premise,20,0.5906,0.5906,18
Qwen/Qwen2.5-3B,real_b2,real,2,premise,24,0.5574,0.5574,18
Qwen/Qwen2.5-3B,real_b2,real,2,premise,28,0.5498,0.5498,18
Qwen/Qwen2.5-3B,real_b2,real,2,premise,32,0.4967,0.4967,18
Qwen/Qwen2.5-3B,real_b2,real,2,premise,36,-0.2475,0.265,18
Qwen/Qwen2.5-3B,real_b2,real,2,last,0,-0.0997,0.2644,18
Qwen/Qwen2.5-3B,real_b2,real,2,last,4,0.1728,0.3046,18
Qwen/Qwen2.5-3B,real_b2,real,2,last,8,0.3387,0.3819,18
Qwen/Qwen2.5-3B,real_b2,real,2,last,12,0.6274,0.6274,18
Qwen/Qwen2.5-3B,real_b2,real,2,last,16,0.5625,0.5625,18
Qwen/Qwen2.5-3B,real_b2,real,2,last,20,0.5937,0.5937,18
Qwen/Qwen2.5-3B,real_b2,real,2,last,24,0.5357,0.5357,18
Qwen/Qwen2.5-3B,real_b2,real,2,last,28,0.5526,0.5526,18
Qwen/Qwen2.5-3B,real_b2,real,2,last,32,0.5133,0.5133,18
Qwen/Qwen2.5-3B,real_b2,real,2,last,36,-0.262,0.2949,18
