model,arm,naming,branching,role,layer,radial_depth_rho,radial_depth_absrho,n_prompts
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,premise,0,0.5151,0.5151,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,premise,4,0.1353,0.2393,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,premise,8,0.4921,0.4921,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,premise,12,0.5619,0.5619,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,premise,16,-0.0353,0.2083,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,premise,20,0.0179,0.1167,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,premise,24,0.0032,0.1829,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,premise,28,-0.1403,0.222,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,last,0,0.5151,0.5151,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,last,4,0.1329,0.2345,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,last,8,0.4756,0.4756,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,last,12,0.5234,0.5234,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,last,16,-0.049,0.1915,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,last,20,-0.0228,0.0954,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,last,24,-0.02,0.2113,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b3,fictional,3,last,28,-0.1573,0.1998,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,premise,0,-0.2975,0.3878,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,premise,4,0.2173,0.2177,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,premise,8,0.5844,0.5844,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,premise,12,0.6564,0.6564,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,premise,16,0.3406,0.3585,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,premise,20,0.3502,0.3679,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,premise,24,0.3613,0.3617,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,premise,28,0.2745,0.3221,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,last,0,-0.2975,0.3878,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,last,4,0.2206,0.2281,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,last,8,0.5754,0.5754,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,last,12,0.6483,0.6483,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,last,16,0.2667,0.2969,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,last,20,0.3028,0.3172,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,last,24,0.371,0.3714,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,real_b2,real,2,last,28,0.1971,0.2581,18
